# Datenquellen:
# 1) Robert Koch-Institut (SurvStat@RKI 2.0), https://survstat.rki.de, Abfragedatum: 22.09.2020; Datenstand: 2020-09-22 01:38:06; eigene Berechnung/eigene Darstellung
#    Meldungen aller Krankheiten 2020 als Neuinfizierte und Inzidenz für die Kreise zur Rückrechnung der Populationsdaten, die das RKI benutzt
#    für eigene Inzidenz-Berechnungen mit RKI/NPGEO (ArcGis-Hub) Daten.
#    Betrifft Spalten "A00-A04" bis "Einwohner in 100k (RKI SurvStat)"
# 2) Statistisches Bundesamt (Destatis), Genesis-Online, 12.09.2020; Datenlizenz by-2-0; eigene Berechnung/eigene Darstellung
#    Betrifft Spalten "Einwohner in 100k (Destatis Genesis)"
#    Web: https://www-genesis.destatis.de/genesis//online?operation=table&code=12411-0012&bypass=true&levelindex=1&levelid=1599941808956#abreadcrumb
# Datenlizenz by-2-0: https://www.govdata.de/dl-de/by-2-0
RKI NPGEO Kreis	SurvStat Kreis	Bundesland	Id	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	Einwohner in 100k (RKI SurvStat)	Einwohner in 100k (Destatis Genesis)
LK Anhalt-Bitterfeld	LK Anhalt-Bitterfeld	Sachsen-Anhalt	15082	0.06079	0.1223	0.26478	0.56894	0.45185	0.12988	1.59854	1.58486
LK Ansbach	LK Ansbach	Bayern	9571	0.08817	0.1689	0.42357	0.66137	0.38507	0.11241	1.83949	1.84591
LK Aschaffenburg	LK Aschaffenburg	Bayern	9671	0.07868	0.15295	0.3727	0.63963	0.38657	0.11155	1.74208	1.742
LK Augsburg	LK Augsburg	Bayern	9772	0.12791	0.23658	0.55521	0.91471	0.53551	0.14543	2.51535	2.53468
LK Aurich	LK Aurich	Niedersachsen	3452	0.08287	0.17087	0.41426	0.66339	0.45397	0.11312	1.89848	1.89694
LK Bad Dürkheim	LK Bad Dürkheim	Rheinland-Pfalz	7332	0.05683	0.11094	0.25543	0.48212	0.32826	0.09302	1.3266	1.32671
LK Bad Kissingen	LK Bad Kissingen	Bayern	9672	0.04323	0.08528	0.21283	0.36028	0.25108	0.07948	1.03218	1.03235
LK Bad Kreuznach	LK Bad Kreuznach	Rheinland-Pfalz	7133	0.0717	0.13936	0.3324	0.55375	0.37474	0.10885	1.5808	1.58345
LK Bad Tölz-Wolfratshausen	LK Bad Tölz-Wolfratshausen	Bayern	9173	0.06345	0.11872	0.28225	0.45766	0.27058	0.07961	1.27227	1.27917
LK Bamberg	LK Bamberg	Bayern	9471	0.07151	0.13399	0.33008	0.55174	0.30332	0.08022	1.47086	1.47163
LK Barnim	LK Barnim	Brandenburg	12060	0.08023	0.16898	0.31469	0.68616	0.45594	0.1216	1.8276	1.85244
LK Bautzen	LK Bautzen	Sachsen	14625	0.13206	0.27143	0.47335	1.06141	0.80907	0.26148	3.0088	2.99758
